id,user_id,order_date,status
1,1,2018/1/1,returned
2,3,2018/1/2,completed
3,94,2018/1/4,completed
4,50,2018/1/5,completed
5,64,2018/1/5,completed
6,54,2018/1/7,completed
7,88,2018/1/9,completed
8,2,2018/1/11,returned
9,53,2018/1/12,completed
10,7,2018/1/14,completed
11,99,2018/1/14,completed
12,59,2018/1/15,completed
13,84,2018/1/17,completed
14,40,2018/1/17,returned
15,25,2018/1/17,completed
16,39,2018/1/18,completed
17,71,2018/1/18,completed
18,64,2018/1/20,returned
19,54,2018/1/22,completed
20,20,2018/1/23,completed
21,71,2018/1/23,completed
22,86,2018/1/24,completed
23,22,2018/1/26,return_pending
24,3,2018/1/27,completed
25,51,2018/1/28,completed
26,32,2018/1/28,completed
27,94,2018/1/29,completed
28,8,2018/1/29,completed
29,57,2018/1/31,completed
30,69,2018/2/2,completed
31,16,2018/2/2,completed
32,28,2018/2/4,completed
33,42,2018/2/4,completed
34,38,2018/2/6,completed
35,80,2018/2/8,completed
36,85,2018/2/10,completed
37,1,2018/2/10,completed
38,51,2018/2/10,completed
39,26,2018/2/11,completed
40,33,2018/2/13,completed
41,99,2018/2/14,completed
42,92,2018/2/16,completed
43,31,2018/2/17,completed
44,66,2018/2/17,completed
45,22,2018/2/17,completed
46,6,2018/2/19,completed
47,50,2018/2/20,completed
48,27,2018/2/21,completed
49,35,2018/2/21,completed
50,51,2018/2/23,completed
51,71,2018/2/24,completed
52,54,2018/2/25,return_pending
53,34,2018/2/26,completed
54,54,2018/2/26,completed
55,18,2018/2/27,completed
56,79,2018/2/28,completed
57,93,2018/3/1,completed
58,22,2018/3/1,completed
59,30,2018/3/2,completed
60,12,2018/3/3,completed
61,63,2018/3/3,completed
62,57,2018/3/5,completed
63,70,2018/3/6,completed
64,13,2018/3/7,completed
65,26,2018/3/8,completed
66,36,2018/3/10,completed
67,79,2018/3/11,completed
68,53,2018/3/11,completed
69,3,2018/3/11,completed
70,8,2018/3/12,completed
71,42,2018/3/12,shipped
72,30,2018/3/14,shipped
73,19,2018/3/16,completed
74,9,2018/3/17,shipped
75,69,2018/3/18,completed
76,25,2018/3/20,completed
77,35,2018/3/21,shipped
78,90,2018/3/23,shipped
79,52,2018/3/23,shipped
80,11,2018/3/23,shipped
81,76,2018/3/23,shipped
82,46,2018/3/24,shipped
83,54,2018/3/24,shipped
84,70,2018/3/26,placed
85,47,2018/3/26,shipped
86,68,2018/3/26,placed
87,46,2018/3/27,placed
88,91,2018/3/27,shipped
89,21,2018/3/28,placed
90,66,2018/3/30,shipped
91,47,2018/3/31,placed
92,84,2018/4/2,placed
93,66,2018/4/3,placed
94,63,2018/4/3,placed
95,27,2018/4/4,placed
96,90,2018/4/6,placed
97,89,2018/4/7,placed
98,41,2018/4/7,placed
99,85,2018/4/9,placed
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
